Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Pull-ups 10x10 challenge,30 min,10x10,3 sets
Monday,Advanced,Jump squats,20 min,5x25,3 sets
Monday,Advanced,Barbell complex,25 min,5 rounds,5 rounds
Tuesday,Advanced,Burpee endurance test,15 min,100 total,1 session
Tuesday,Advanced,Advanced push-up variations,18 min,4x20,4 sets
Tuesday,Advanced,Pistol squat endurance,12 min,3x12 per leg,3 sets
Wednesday,Advanced,Plank endurance progression,10 min,3x2 min,3 sets
Wednesday,Advanced,Pull-ups 10x10 challenge,30 min,10x10,3 sets
Wednesday,Advanced,Jump squats,20 min,5x25,3 sets
Thursday,Advanced,Barbell complex,25 min,5 rounds,5 rounds
Thursday,Advanced,Burpee endurance test,15 min,100 total,1 session
Thursday,Advanced,Advanced push-up variations,18 min,4x20,4 sets
Friday,Advanced,Pistol squat endurance,12 min,3x12 per leg,3 sets
Friday,Advanced,Plank endurance progression,10 min,3x2 min,3 sets
Friday,Advanced,Pull-ups 10x10 challenge,30 min,10x10,3 sets
Saturday,Advanced,Jump squats,20 min,5x25,3 sets
Saturday,Advanced,Barbell complex,25 min,5 rounds,5 rounds
Saturday,Advanced,Burpee endurance test,15 min,100 total,1 session
Sunday,Advanced,Advanced push-up variations,18 min,4x20,4 sets
Sunday,Advanced,Pistol squat endurance,12 min,3x12 per leg,3 sets
Sunday,Advanced,Plank endurance progression,10 min,3x2 min,3 sets
