Day,Level,Exercise
Monday,Easy,Dumbbell deadlifts light
Monday,Easy,Wall push-ups
Monday,Easy,Bodyweight squats
Tuesday,Easy,Dumbbell deadlifts light
Tuesday,Easy,Wall push-ups
Tuesday,Easy,Bodyweight squats
Wednesday,Easy,Dumbbell deadlifts light
Wednesday,Easy,Wall push-ups
Wednesday,Easy,Bodyweight squats
Thursday,Easy,Dumbbell deadlifts light
Thursday,Easy,Wall push-ups
Thursday,Easy,Bodyweight squats
Friday,Easy,Dumbbell deadlifts light
Friday,Easy,Wall push-ups
Friday,Easy,Bodyweight squats
Saturday,Easy,Dumbbell deadlifts light
Saturday,Easy,Wall push-ups
Saturday,Easy,Bodyweight squats
Sunday,Easy,Dumbbell deadlifts light
Sunday,Easy,Wall push-ups
Sunday,Easy,Bodyweight squats
