Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,5-exercise AMRAP circuit,20 min,Max rounds,20 mins
Monday,Intermediate,Dumbbell + plyometric combo,25 min,4 rounds,4 rounds
Monday,Intermediate,Jump rope + weighted squats + burpees,18 min,3 rounds,3 rounds
Tuesday,Intermediate,Kettlebell circuit,15 min,3 rounds,3 rounds
Tuesday,Intermediate,TRX suspension circuit,20 min,4 rounds,4 rounds
Tuesday,Intermediate,Battle rope circuit,12 min,6 rounds,3 sets
Wednesday,Intermediate,Medicine ball circuit,16 min,4 rounds,4 rounds
Wednesday,Intermediate,5-exercise AMRAP circuit,20 min,Max rounds,20 mins
Wednesday,Intermediate,Dumbbell + plyometric combo,25 min,4 rounds,4 rounds
Thursday,Intermediate,Jump rope + weighted squats + burpees,18 min,3 rounds,3 rounds
Thursday,Intermediate,Kettlebell circuit,15 min,3 rounds,3 rounds
Thursday,Intermediate,TRX suspension circuit,20 min,4 rounds,4 rounds
Friday,Intermediate,Battle rope circuit,12 min,6 rounds,3 sets
Friday,Intermediate,Medicine ball circuit,16 min,4 rounds,4 rounds
Friday,Intermediate,5-exercise AMRAP circuit,20 min,Max rounds,20 mins
Saturday,Intermediate,Dumbbell + plyometric combo,25 min,4 rounds,4 rounds
Saturday,Intermediate,Jump rope + weighted squats + burpees,18 min,3 rounds,3 rounds
Saturday,Intermediate,Kettlebell circuit,15 min,3 rounds,3 rounds
Sunday,Intermediate,TRX suspension circuit,20 min,4 rounds,4 rounds
Sunday,Intermediate,Battle rope circuit,12 min,6 rounds,3 sets
Sunday,Intermediate,Medicine ball circuit,16 min,4 rounds,4 rounds
