Day,Level,Exercise
Monday,Intermediate,Incline bench press 4x10
Monday,Intermediate,Barbell squats 4x8
Monday,Intermediate,Weighted pull-ups 4x8
Tuesday,Intermediate,Incline bench press 4x10
Tuesday,Intermediate,Barbell squats 4x8
Tuesday,Intermediate,Weighted pull-ups 4x8
Wednesday,Intermediate,Incline bench press 4x10
Wednesday,Intermediate,Barbell squats 4x8
Wednesday,Intermediate,Weighted pull-ups 4x8
Thursday,Intermediate,Incline bench press 4x10
Thursday,Intermediate,Barbell squats 4x8
Thursday,Intermediate,Weighted pull-ups 4x8
Friday,Intermediate,Incline bench press 4x10
Friday,Intermediate,Barbell squats 4x8
Friday,Intermediate,Weighted pull-ups 4x8
Saturday,Intermediate,Incline bench press 4x10
Saturday,Intermediate,Barbell squats 4x8
Saturday,Intermediate,Weighted pull-ups 4x8
Sunday,Intermediate,Incline bench press 4x10
Sunday,Intermediate,Barbell squats 4x8
Sunday,Intermediate,Weighted pull-ups 4x8
