Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,CrossFit Murph-style workout,60 min,1 round,1 session
Monday,Advanced,Tabata circuit with Olympic lifts,20 min,8 rounds,1 session
Monday,Advanced,HIIT circuit with barbell complexes,30 min,5 rounds,5 rounds
Tuesday,Advanced,Advanced functional circuit,45 min,6 rounds,1 session
Tuesday,Advanced,Competition-style WOD,25 min,1 round,1 session
Tuesday,Advanced,Military-style circuit,40 min,8 rounds,1 session
Wednesday,Advanced,Strongman circuit,35 min,5 rounds,1 session
Wednesday,Advanced,CrossFit Murph-style workout,60 min,1 round,1 session
Wednesday,Advanced,Tabata circuit with Olympic lifts,20 min,8 rounds,1 session
Thursday,Advanced,HIIT circuit with barbell complexes,30 min,5 rounds,5 rounds
Thursday,Advanced,Advanced functional circuit,45 min,6 rounds,1 session
Thursday,Advanced,Competition-style WOD,25 min,1 round,1 session
Friday,Advanced,Military-style circuit,40 min,8 rounds,1 session
Friday,Advanced,Strongman circuit,35 min,5 rounds,1 session
Friday,Advanced,CrossFit Murph-style workout,60 min,1 round,1 session
Saturday,Advanced,Tabata circuit with Olympic lifts,20 min,8 rounds,1 session
Saturday,Advanced,HIIT circuit with barbell complexes,30 min,5 rounds,5 rounds
Saturday,Advanced,Advanced functional circuit,45 min,6 rounds,1 session
Sunday,Advanced,Competition-style WOD,25 min,1 round,1 session
Sunday,Advanced,Military-style circuit,40 min,8 rounds,1 session
Sunday,Advanced,Strongman circuit,35 min,5 rounds,1 session
