Day,Level,Exercise
Monday,Intermediate,Barbell deadlift 5x5
Monday,Intermediate,Overhead press 5x5
Monday,Intermediate,Weighted chin-ups
Tuesday,Intermediate,Barbell deadlift 5x5
Tuesday,Intermediate,Overhead press 5x5
Tuesday,Intermediate,Weighted chin-ups
Wednesday,Intermediate,Barbell deadlift 5x5
Wednesday,Intermediate,Overhead press 5x5
Wednesday,Intermediate,Weighted chin-ups
Thursday,Intermediate,Barbell deadlift 5x5
Thursday,Intermediate,Overhead press 5x5
Thursday,Intermediate,Weighted chin-ups
Friday,Intermediate,Barbell deadlift 5x5
Friday,Intermediate,Overhead press 5x5
Friday,Intermediate,Weighted chin-ups
Saturday,Intermediate,Barbell deadlift 5x5
Saturday,Intermediate,Overhead press 5x5
Saturday,Intermediate,Weighted chin-ups
Sunday,Intermediate,Barbell deadlift 5x5
Sunday,Intermediate,Overhead press 5x5
Sunday,Intermediate,Weighted chin-ups
