Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Incline bench press,15 min,4x10,4 sets
Monday,Intermediate,Barbell squats,12 min,4x8,4 sets
Monday,Intermediate,Weighted pull-ups,10 min,4x8,4 sets
Tuesday,Intermediate,Dumbbell rows,12 min,4x10,4 sets
Tuesday,Intermediate,Overhead press,10 min,4x8,4 sets
Tuesday,Intermediate,Romanian deadlifts,12 min,4x10,4 sets
Wednesday,Intermediate,Dips weighted,8 min,4x8,4 sets
Wednesday,Intermediate,Incline bench press,15 min,4x10,4 sets
Wednesday,Intermediate,Barbell squats,12 min,4x8,4 sets
Thursday,Intermediate,Weighted pull-ups,10 min,4x8,4 sets
Thursday,Intermediate,Dumbbell rows,12 min,4x10,4 sets
Thursday,Intermediate,Overhead press,10 min,4x8,4 sets
Friday,Intermediate,Romanian deadlifts,12 min,4x10,4 sets
Friday,Intermediate,Dips weighted,8 min,4x8,4 sets
Friday,Intermediate,Incline bench press,15 min,4x10,4 sets
Saturday,Intermediate,Barbell squats,12 min,4x8,4 sets
Saturday,Intermediate,Weighted pull-ups,10 min,4x8,4 sets
Saturday,Intermediate,Dumbbell rows,12 min,4x10,4 sets
Sunday,Intermediate,Overhead press,10 min,4x8,4 sets
Sunday,Intermediate,Romanian deadlifts,12 min,4x10,4 sets
Sunday,Intermediate,Dips weighted,8 min,4x8,4 sets
