Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,"Bodyweight circuit: squats, push-ups, lunges",15 min,3 rounds,3 rounds
Monday,Easy,Resistance band light circuit,12 min,3 rounds,3 rounds
Monday,Easy,Step-ups + sit-to-stand,10 min,3x12,3 sets
Tuesday,Easy,Chair exercises circuit,8 min,2 rounds,3 sets
Tuesday,Easy,Wall exercises circuit,6 min,2 rounds,3 sets
Tuesday,Easy,Balance and flexibility circuit,12 min,3 rounds,3 rounds
Wednesday,Easy,Gentle cardio circuit,20 min,4 rounds,1 session
Wednesday,Easy,"Bodyweight circuit: squats, push-ups, lunges",15 min,3 rounds,3 rounds
Wednesday,Easy,Resistance band light circuit,12 min,3 rounds,3 rounds
Thursday,Easy,Step-ups + sit-to-stand,10 min,3x12,3 sets
Thursday,Easy,Chair exercises circuit,8 min,2 rounds,3 sets
Thursday,Easy,Wall exercises circuit,6 min,2 rounds,3 sets
Friday,Easy,Balance and flexibility circuit,12 min,3 rounds,3 rounds
Friday,Easy,Gentle cardio circuit,20 min,4 rounds,1 session
Friday,Easy,"Bodyweight circuit: squats, push-ups, lunges",15 min,3 rounds,3 rounds
Saturday,Easy,Resistance band light circuit,12 min,3 rounds,3 rounds
Saturday,Easy,Step-ups + sit-to-stand,10 min,3x12,3 sets
Saturday,Easy,Chair exercises circuit,8 min,2 rounds,3 sets
Sunday,Easy,Wall exercises circuit,6 min,2 rounds,3 sets
Sunday,Easy,Balance and flexibility circuit,12 min,3 rounds,3 rounds
Sunday,Easy,Gentle cardio circuit,20 min,4 rounds,1 session
