Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Heavy Turkish get-up,20 min,3x5,3 sets
Monday,Advanced,Atlas stone lift,15 min,3x8,3 sets
Monday,Advanced,Yoke carry,10 min,3x20 meters,3 sets
Tuesday,Advanced,Tire flips,12 min,3x10,3 sets
Tuesday,Advanced,Sled pushes/pulls,15 min,3x30m,3 sets
Tuesday,Advanced,Log press,18 min,3x6,3 sets
Wednesday,Advanced,Strongman medley,25 min,3 rounds,3 rounds
Wednesday,Advanced,Heavy Turkish get-up,20 min,3x5,3 sets
Wednesday,Advanced,Atlas stone lift,15 min,3x8,3 sets
Thursday,Advanced,Yoke carry,10 min,3x20 meters,3 sets
Thursday,Advanced,Tire flips,12 min,3x10,3 sets
Thursday,Advanced,Sled pushes/pulls,15 min,3x30m,3 sets
Friday,Advanced,Log press,18 min,3x6,3 sets
Friday,Advanced,Strongman medley,25 min,3 rounds,3 rounds
Friday,Advanced,Heavy Turkish get-up,20 min,3x5,3 sets
Saturday,Advanced,Atlas stone lift,15 min,3x8,3 sets
Saturday,Advanced,Yoke carry,10 min,3x20 meters,3 sets
Saturday,Advanced,Tire flips,12 min,3x10,3 sets
Sunday,Advanced,Sled pushes/pulls,15 min,3x30m,3 sets
Sunday,Advanced,Log press,18 min,3x6,3 sets
Sunday,Advanced,Strongman medley,25 min,3 rounds,3 rounds
