Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Deficit deadlifts,25 min,5x6,5 sets
Monday,Advanced,Incline dumbbell press heavy,20 min,5x8,5 sets
Monday,Advanced,Weighted dips,30 min,5x10,5 sets
Tuesday,Advanced,Heavy barbell rows,18 min,5x6,5 sets
Tuesday,Advanced,Front squats heavy,20 min,5x8,5 sets
Tuesday,Advanced,Weighted chin-ups,15 min,5x6,5 sets
Wednesday,Advanced,Close-grip bench press,18 min,5x8,5 sets
Wednesday,Advanced,Deficit deadlifts,25 min,5x6,5 sets
Wednesday,Advanced,Incline dumbbell press heavy,20 min,5x8,5 sets
Thursday,Advanced,Weighted dips,30 min,5x10,5 sets
Thursday,Advanced,Heavy barbell rows,18 min,5x6,5 sets
Thursday,Advanced,Front squats heavy,20 min,5x8,5 sets
Friday,Advanced,Weighted chin-ups,15 min,5x6,5 sets
Friday,Advanced,Close-grip bench press,18 min,5x8,5 sets
Friday,Advanced,Deficit deadlifts,25 min,5x6,5 sets
Saturday,Advanced,Incline dumbbell press heavy,20 min,5x8,5 sets
Saturday,Advanced,Weighted dips,30 min,5x10,5 sets
Saturday,Advanced,Heavy barbell rows,18 min,5x6,5 sets
Sunday,Advanced,Front squats heavy,20 min,5x8,5 sets
Sunday,Advanced,Weighted chin-ups,15 min,5x6,5 sets
Sunday,Advanced,Close-grip bench press,18 min,5x8,5 sets
