Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Depth jumps from 36in,15 min,3x6,3 sets
Monday,Advanced,Single-leg hurdle hops,12 min,3x8 each leg,3 sets
Monday,Advanced,Broad jumps into sprint,10 min,3x10,3 sets
Tuesday,Advanced,Reactive box jumps,8 min,3x6,3 sets
Tuesday,Advanced,Lateral hurdle hops,10 min,3x8 per side,3 sets
Tuesday,Advanced,Depth jump to box jump,12 min,3x5,3 sets
Wednesday,Advanced,Plyometric muscle-ups,15 min,3x3,3 sets
Wednesday,Advanced,Depth jumps from 36in,15 min,3x6,3 sets
Wednesday,Advanced,Single-leg hurdle hops,12 min,3x8 each leg,3 sets
Thursday,Advanced,Broad jumps into sprint,10 min,3x10,3 sets
Thursday,Advanced,Reactive box jumps,8 min,3x6,3 sets
Thursday,Advanced,Lateral hurdle hops,10 min,3x8 per side,3 sets
Friday,Advanced,Depth jump to box jump,12 min,3x5,3 sets
Friday,Advanced,Plyometric muscle-ups,15 min,3x3,3 sets
Friday,Advanced,Depth jumps from 36in,15 min,3x6,3 sets
Saturday,Advanced,Single-leg hurdle hops,12 min,3x8 each leg,3 sets
Saturday,Advanced,Broad jumps into sprint,10 min,3x10,3 sets
Saturday,Advanced,Reactive box jumps,8 min,3x6,3 sets
Sunday,Advanced,Lateral hurdle hops,10 min,3x8 per side,3 sets
Sunday,Advanced,Depth jump to box jump,12 min,3x5,3 sets
Sunday,Advanced,Plyometric muscle-ups,15 min,3x3,3 sets
