Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Banded chest fly,12 min,3x12,3 sets
Monday,Intermediate,Banded thrusters,15 min,3x12,3 sets
Monday,Intermediate,Banded deadlifts,15 min,3x12,3 sets
Tuesday,Intermediate,Band-assisted squats,10 min,3x15,3 sets
Tuesday,Intermediate,Banded face pulls,8 min,3x15,3 sets
Tuesday,Intermediate,Lateral raises with band,6 min,3x12,3 sets
Wednesday,Intermediate,Band monster walks,12 min,3x20 steps,3 sets
Wednesday,Intermediate,Banded chest fly,12 min,3x12,3 sets
Wednesday,Intermediate,Banded thrusters,15 min,3x12,3 sets
Thursday,Intermediate,Banded deadlifts,15 min,3x12,3 sets
Thursday,Intermediate,Band-assisted squats,10 min,3x15,3 sets
Thursday,Intermediate,Banded face pulls,8 min,3x15,3 sets
Friday,Intermediate,Lateral raises with band,6 min,3x12,3 sets
Friday,Intermediate,Band monster walks,12 min,3x20 steps,3 sets
Friday,Intermediate,Banded chest fly,12 min,3x12,3 sets
Saturday,Intermediate,Banded thrusters,15 min,3x12,3 sets
Saturday,Intermediate,Banded deadlifts,15 min,3x12,3 sets
Saturday,Intermediate,Band-assisted squats,10 min,3x15,3 sets
Sunday,Intermediate,Banded face pulls,8 min,3x15,3 sets
Sunday,Intermediate,Lateral raises with band,6 min,3x12,3 sets
Sunday,Intermediate,Band monster walks,12 min,3x20 steps,3 sets
