Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Deep squat to thoracic rotation,5 min,30 sec each side,3 sets
Monday,Intermediate,90/90 hip flow,1 min,3 sets,3 sets
Monday,Intermediate,Dynamic hamstring sweeps,3 min,30 sec each leg,3 sets
Tuesday,Intermediate,Shoulder dislocations with band,4 min,3x15,3 sets
Tuesday,Intermediate,Hip flexor dynamic stretch,6 min,3x12 each leg,3 sets
Tuesday,Intermediate,Spinal wave,5 min,3x10,3 sets
Wednesday,Intermediate,Leg swings multi-directional,8 min,3x15 each direction,3 sets
Wednesday,Intermediate,Deep squat to thoracic rotation,5 min,30 sec each side,3 sets
Wednesday,Intermediate,90/90 hip flow,1 min,3 sets,3 sets
Thursday,Intermediate,Dynamic hamstring sweeps,3 min,30 sec each leg,3 sets
Thursday,Intermediate,Shoulder dislocations with band,4 min,3x15,3 sets
Thursday,Intermediate,Hip flexor dynamic stretch,6 min,3x12 each leg,3 sets
Friday,Intermediate,Spinal wave,5 min,3x10,3 sets
Friday,Intermediate,Leg swings multi-directional,8 min,3x15 each direction,3 sets
Friday,Intermediate,Deep squat to thoracic rotation,5 min,30 sec each side,3 sets
Saturday,Intermediate,90/90 hip flow,1 min,3 sets,3 sets
Saturday,Intermediate,Dynamic hamstring sweeps,3 min,30 sec each leg,3 sets
Saturday,Intermediate,Shoulder dislocations with band,4 min,3x15,3 sets
Sunday,Intermediate,Hip flexor dynamic stretch,6 min,3x12 each leg,3 sets
Sunday,Intermediate,Spinal wave,5 min,3x10,3 sets
Sunday,Intermediate,Leg swings multi-directional,8 min,3x15 each direction,3 sets
