Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Box jumps 24in,12 min,3x10,3 sets
Monday,Intermediate,Burpee box jumps,15 min,3x10,3 sets
Monday,Intermediate,Skater jumps with distance,8 min,3x12,3 sets
Tuesday,Intermediate,Tuck jumps,6 min,3x8,3 sets
Tuesday,Intermediate,Lateral bounds,10 min,3x10 per side,3 sets
Tuesday,Intermediate,Split jump lunges,8 min,3x12,3 sets
Wednesday,Intermediate,Plyometric push-ups,6 min,3x6,3 sets
Wednesday,Intermediate,Box jumps 24in,12 min,3x10,3 sets
Wednesday,Intermediate,Burpee box jumps,15 min,3x10,3 sets
Thursday,Intermediate,Skater jumps with distance,8 min,3x12,3 sets
Thursday,Intermediate,Tuck jumps,6 min,3x8,3 sets
Thursday,Intermediate,Lateral bounds,10 min,3x10 per side,3 sets
Friday,Intermediate,Split jump lunges,8 min,3x12,3 sets
Friday,Intermediate,Plyometric push-ups,6 min,3x6,3 sets
Friday,Intermediate,Box jumps 24in,12 min,3x10,3 sets
Saturday,Intermediate,Burpee box jumps,15 min,3x10,3 sets
Saturday,Intermediate,Skater jumps with distance,8 min,3x12,3 sets
Saturday,Intermediate,Tuck jumps,6 min,3x8,3 sets
Sunday,Intermediate,Lateral bounds,10 min,3x10 per side,3 sets
Sunday,Intermediate,Split jump lunges,8 min,3x12,3 sets
Sunday,Intermediate,Plyometric push-ups,6 min,3x6,3 sets
