Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Wall push-ups,5 min,8-12,3 sets
Monday,Easy,Knee push-ups,4 min,8-12,3 sets
Monday,Easy,Glute bridges,6 min,10-15,3 sets
Tuesday,Easy,Modified planks,30 sec,3 holds,3 sets
Tuesday,Easy,Chair squats,5 min,10-15,3 sets
Tuesday,Easy,Standing calf raises,3 min,15-20,3 sets
Wednesday,Easy,Arm circles,2 min,20 each direction,3 sets
Wednesday,Easy,Wall push-ups,5 min,8-12,3 sets
Wednesday,Easy,Knee push-ups,4 min,8-12,3 sets
Thursday,Easy,Glute bridges,6 min,10-15,3 sets
Thursday,Easy,Modified planks,30 sec,3 holds,3 sets
Thursday,Easy,Chair squats,5 min,10-15,3 sets
Friday,Easy,Standing calf raises,3 min,15-20,3 sets
Friday,Easy,Arm circles,2 min,20 each direction,3 sets
Friday,Easy,Wall push-ups,5 min,8-12,3 sets
Saturday,Easy,Knee push-ups,4 min,8-12,3 sets
Saturday,Easy,Glute bridges,6 min,10-15,3 sets
Saturday,Easy,Modified planks,30 sec,3 holds,3 sets
Sunday,Easy,Chair squats,5 min,10-15,3 sets
Sunday,Easy,Standing calf raises,3 min,15-20,3 sets
Sunday,Easy,Arm circles,2 min,20 each direction,3 sets
