Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Barbell deadlift,15 min,5x5,5 sets
Monday,Intermediate,Overhead press,12 min,5x5,5 sets
Monday,Intermediate,Weighted chin-ups,10 min,5x5,5 sets
Tuesday,Intermediate,Barbell squats,15 min,5x5,5 sets
Tuesday,Intermediate,Bench press,12 min,5x5,5 sets
Tuesday,Intermediate,Barbell rows,10 min,5x5,5 sets
Wednesday,Intermediate,Dips,8 min,5x5,5 sets
Wednesday,Intermediate,Barbell deadlift,15 min,5x5,5 sets
Wednesday,Intermediate,Overhead press,12 min,5x5,5 sets
Thursday,Intermediate,Weighted chin-ups,10 min,5x5,5 sets
Thursday,Intermediate,Barbell squats,15 min,5x5,5 sets
Thursday,Intermediate,Bench press,12 min,5x5,5 sets
Friday,Intermediate,Barbell rows,10 min,5x5,5 sets
Friday,Intermediate,Dips,8 min,5x5,5 sets
Friday,Intermediate,Barbell deadlift,15 min,5x5,5 sets
Saturday,Intermediate,Overhead press,12 min,5x5,5 sets
Saturday,Intermediate,Weighted chin-ups,10 min,5x5,5 sets
Saturday,Intermediate,Barbell squats,15 min,5x5,5 sets
Sunday,Intermediate,Bench press,12 min,5x5,5 sets
Sunday,Intermediate,Barbell rows,10 min,5x5,5 sets
Sunday,Intermediate,Dips,8 min,5x5,5 sets
