Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Tempo running,30 min,1 session,3x/week
Monday,Intermediate,Rowing sprints,15 min,500m x 5,3 sets
Monday,Intermediate,Jump rope double unders,5 min,3 sets,3 sets
Tuesday,Intermediate,Cycling intervals,25 min,2 min hard/1 min easy x 8,1 session
Tuesday,Intermediate,Swimming laps,35 min,50m x 20,3x/week
Tuesday,Intermediate,Elliptical HIIT,20 min,1 min hard/30 sec easy,1 session
Wednesday,Intermediate,Stair climbing,15 min,3 min intervals,5 sets
Wednesday,Intermediate,Tempo running,30 min,1 session,3x/week
Wednesday,Intermediate,Rowing sprints,15 min,500m x 5,3 sets
Thursday,Intermediate,Jump rope double unders,5 min,3 sets,3 sets
Thursday,Intermediate,Cycling intervals,25 min,2 min hard/1 min easy x 8,1 session
Thursday,Intermediate,Swimming laps,35 min,50m x 20,3x/week
Friday,Intermediate,Elliptical HIIT,20 min,1 min hard/30 sec easy,1 session
Friday,Intermediate,Stair climbing,15 min,3 min intervals,5 sets
Friday,Intermediate,Tempo running,30 min,1 session,3x/week
Saturday,Intermediate,Rowing sprints,15 min,500m x 5,3 sets
Saturday,Intermediate,Jump rope double unders,5 min,3 sets,3 sets
Saturday,Intermediate,Cycling intervals,25 min,2 min hard/1 min easy x 8,1 session
Sunday,Intermediate,Swimming laps,35 min,50m x 20,3x/week
Sunday,Intermediate,Elliptical HIIT,20 min,1 min hard/30 sec easy,1 session
Sunday,Intermediate,Stair climbing,15 min,3 min intervals,5 sets
