Day,Level,Exercise
Monday,Easy,Seated hamstring stretch
Monday,Easy,Cat-cow stretch
Monday,Easy,Shoulder rolls
Tuesday,Easy,Seated hamstring stretch
Tuesday,Easy,Cat-cow stretch
Tuesday,Easy,Shoulder rolls
Wednesday,Easy,Seated hamstring stretch
Wednesday,Easy,Cat-cow stretch
Wednesday,Easy,Shoulder rolls
Thursday,Easy,Seated hamstring stretch
Thursday,Easy,Cat-cow stretch
Thursday,Easy,Shoulder rolls
Friday,Easy,Seated hamstring stretch
Friday,Easy,Cat-cow stretch
Friday,Easy,Shoulder rolls
Saturday,Easy,Seated hamstring stretch
Saturday,Easy,Cat-cow stretch
Saturday,Easy,Shoulder rolls
Sunday,Easy,Seated hamstring stretch
Sunday,Easy,Cat-cow stretch
Sunday,Easy,Shoulder rolls
