Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Sprint intervals with hill runs,25 min,15 sec sprint / 45 sec rest x 10,1 session
Monday,Advanced,Stair sprints with weighted vest,5 min,10 rounds,3 sets
Monday,Advanced,Burpee pull-ups,15 min,3x20,3 sets
Tuesday,Advanced,Mountain sprints,30 min,5 min climb/2 min rest,5 rounds
Tuesday,Advanced,Battle rope intervals,20 min,30 sec on/30 sec off,20 rounds
Tuesday,Advanced,Kettlebell swings HIIT,12 min,20 sec on/10 sec off,36 rounds
Wednesday,Advanced,Boxing combinations,45 min,3 min rounds,15 rounds
Wednesday,Advanced,Sprint intervals with hill runs,25 min,15 sec sprint / 45 sec rest x 10,1 session
Wednesday,Advanced,Stair sprints with weighted vest,5 min,10 rounds,3 sets
Thursday,Advanced,Burpee pull-ups,15 min,3x20,3 sets
Thursday,Advanced,Mountain sprints,30 min,5 min climb/2 min rest,5 rounds
Thursday,Advanced,Battle rope intervals,20 min,30 sec on/30 sec off,20 rounds
Friday,Advanced,Kettlebell swings HIIT,12 min,20 sec on/10 sec off,36 rounds
Friday,Advanced,Boxing combinations,45 min,3 min rounds,15 rounds
Friday,Advanced,Sprint intervals with hill runs,25 min,15 sec sprint / 45 sec rest x 10,1 session
Saturday,Advanced,Stair sprints with weighted vest,5 min,10 rounds,3 sets
Saturday,Advanced,Burpee pull-ups,15 min,3x20,3 sets
Saturday,Advanced,Mountain sprints,30 min,5 min climb/2 min rest,5 rounds
Sunday,Advanced,Battle rope intervals,20 min,30 sec on/30 sec off,20 rounds
Sunday,Advanced,Kettlebell swings HIIT,12 min,20 sec on/10 sec off,36 rounds
Sunday,Advanced,Boxing combinations,45 min,3 min rounds,15 rounds
