Day,Level,Exercise
Monday,Advanced,Banded squats with barbell
Monday,Advanced,Banded bench press
Monday,Advanced,Banded muscle-ups
Tuesday,Advanced,Banded squats with barbell
Tuesday,Advanced,Banded bench press
Tuesday,Advanced,Banded muscle-ups
Wednesday,Advanced,Banded squats with barbell
Wednesday,Advanced,Banded bench press
Wednesday,Advanced,Banded muscle-ups
Thursday,Advanced,Banded squats with barbell
Thursday,Advanced,Banded bench press
Thursday,Advanced,Banded muscle-ups
Friday,Advanced,Banded squats with barbell
Friday,Advanced,Banded bench press
Friday,Advanced,Banded muscle-ups
Saturday,Advanced,Banded squats with barbell
Saturday,Advanced,Banded bench press
Saturday,Advanced,Banded muscle-ups
Sunday,Advanced,Banded squats with barbell
Sunday,Advanced,Banded bench press
Sunday,Advanced,Banded muscle-ups
