Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Kettlebell clean and press,15 min,3x8,3 sets
Monday,Intermediate,Medicine ball rotational throws,12 min,3x10 each side,3 sets
Monday,Intermediate,Walking lunges with twist,10 min,3x12,3 sets
Tuesday,Intermediate,Sandbag carries,8 min,3x50m,3 sets
Tuesday,Intermediate,Box step-ups with knee drive,12 min,3x15 each leg,3 sets
Tuesday,Intermediate,TRX suspension squats,10 min,3x15,3 sets
Wednesday,Intermediate,Functional movement patterns,18 min,3 rounds,3 rounds
Wednesday,Intermediate,Kettlebell clean and press,15 min,3x8,3 sets
Wednesday,Intermediate,Medicine ball rotational throws,12 min,3x10 each side,3 sets
Thursday,Intermediate,Walking lunges with twist,10 min,3x12,3 sets
Thursday,Intermediate,Sandbag carries,8 min,3x50m,3 sets
Thursday,Intermediate,Box step-ups with knee drive,12 min,3x15 each leg,3 sets
Friday,Intermediate,TRX suspension squats,10 min,3x15,3 sets
Friday,Intermediate,Functional movement patterns,18 min,3 rounds,3 rounds
Friday,Intermediate,Kettlebell clean and press,15 min,3x8,3 sets
Saturday,Intermediate,Medicine ball rotational throws,12 min,3x10 each side,3 sets
Saturday,Intermediate,Walking lunges with twist,10 min,3x12,3 sets
Saturday,Intermediate,Sandbag carries,8 min,3x50m,3 sets
Sunday,Intermediate,Box step-ups with knee drive,12 min,3x15 each leg,3 sets
Sunday,Intermediate,TRX suspension squats,10 min,3x15,3 sets
Sunday,Intermediate,Functional movement patterns,18 min,3 rounds,3 rounds
