Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Farmer's carry with light weights,2 min,3x30 sec,3 sets
Monday,Easy,Step-ups,8 min,3x12 each leg,3 sets
Monday,Easy,Sit-to-stand,5 min,3x12,3 sets
Tuesday,Easy,Grocery bag carries,3 min,3x45 sec,3 sets
Tuesday,Easy,Chair squats,6 min,3x15,3 sets
Tuesday,Easy,Light object lifting,4 min,3x10,3 sets
Wednesday,Easy,Balance reach exercises,7 min,3x10 each direction,3 sets
Wednesday,Easy,Farmer's carry with light weights,2 min,3x30 sec,3 sets
Wednesday,Easy,Step-ups,8 min,3x12 each leg,3 sets
Thursday,Easy,Sit-to-stand,5 min,3x12,3 sets
Thursday,Easy,Grocery bag carries,3 min,3x45 sec,3 sets
Thursday,Easy,Chair squats,6 min,3x15,3 sets
Friday,Easy,Light object lifting,4 min,3x10,3 sets
Friday,Easy,Balance reach exercises,7 min,3x10 each direction,3 sets
Friday,Easy,Farmer's carry with light weights,2 min,3x30 sec,3 sets
Saturday,Easy,Step-ups,8 min,3x12 each leg,3 sets
Saturday,Easy,Sit-to-stand,5 min,3x12,3 sets
Saturday,Easy,Grocery bag carries,3 min,3x45 sec,3 sets
Sunday,Easy,Chair squats,6 min,3x15,3 sets
Sunday,Easy,Light object lifting,4 min,3x10,3 sets
Sunday,Easy,Balance reach exercises,7 min,3x10 each direction,3 sets
