Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,One-arm push-ups,15 min,5-8 per arm,3 sets
Monday,Advanced,Pistol squats with jump,12 min,6-8 per leg,3 sets
Monday,Advanced,Handstand push-ups freestanding,10 min,5-8,3 sets
Tuesday,Advanced,Archer push-ups,8 min,5-8 per side,3 sets
Tuesday,Advanced,Shrimp squats,15 min,3-5 per leg,3 sets
Tuesday,Advanced,Planche push-ups,20 min,3-5,3 sets
Wednesday,Advanced,Human flag holds,10 min,5-10 sec holds,3 sets
Wednesday,Advanced,One-arm push-ups,15 min,5-8 per arm,3 sets
Wednesday,Advanced,Pistol squats with jump,12 min,6-8 per leg,3 sets
Thursday,Advanced,Handstand push-ups freestanding,10 min,5-8,3 sets
Thursday,Advanced,Archer push-ups,8 min,5-8 per side,3 sets
Thursday,Advanced,Shrimp squats,15 min,3-5 per leg,3 sets
Friday,Advanced,Planche push-ups,20 min,3-5,3 sets
Friday,Advanced,Human flag holds,10 min,5-10 sec holds,3 sets
Friday,Advanced,One-arm push-ups,15 min,5-8 per arm,3 sets
Saturday,Advanced,Pistol squats with jump,12 min,6-8 per leg,3 sets
Saturday,Advanced,Handstand push-ups freestanding,10 min,5-8,3 sets
Saturday,Advanced,Archer push-ups,8 min,5-8 per side,3 sets
Sunday,Advanced,Shrimp squats,15 min,3-5 per leg,3 sets
Sunday,Advanced,Planche push-ups,20 min,3-5,3 sets
Sunday,Advanced,Human flag holds,10 min,5-10 sec holds,3 sets
