Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Dragon flag negatives,15 min,3x5,3 sets
Monday,Advanced,Ab rollout from standing,12 min,3x8,3 sets
Monday,Advanced,Hanging windshield wipers,10 min,3x10,3 sets
Tuesday,Advanced,L-sit progressions,20 min,3x20 sec,3 sets
Tuesday,Advanced,Human flag progressions,25 min,3x10 sec,3 sets
Tuesday,Advanced,Pistol squat to overhead press,18 min,3x8 per leg,3 sets
Wednesday,Advanced,Advanced planche progressions,30 min,3x15 sec,3 sets
Wednesday,Advanced,Dragon flag negatives,15 min,3x5,3 sets
Wednesday,Advanced,Ab rollout from standing,12 min,3x8,3 sets
Thursday,Advanced,Hanging windshield wipers,10 min,3x10,3 sets
Thursday,Advanced,L-sit progressions,20 min,3x20 sec,3 sets
Thursday,Advanced,Human flag progressions,25 min,3x10 sec,3 sets
Friday,Advanced,Pistol squat to overhead press,18 min,3x8 per leg,3 sets
Friday,Advanced,Advanced planche progressions,30 min,3x15 sec,3 sets
Friday,Advanced,Dragon flag negatives,15 min,3x5,3 sets
Saturday,Advanced,Ab rollout from standing,12 min,3x8,3 sets
Saturday,Advanced,Hanging windshield wipers,10 min,3x10,3 sets
Saturday,Advanced,L-sit progressions,20 min,3x20 sec,3 sets
Sunday,Advanced,Human flag progressions,25 min,3x10 sec,3 sets
Sunday,Advanced,Pistol squat to overhead press,18 min,3x8 per leg,3 sets
Sunday,Advanced,Advanced planche progressions,30 min,3x15 sec,3 sets
