Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Banded squats with barbell,20 min,4x10,4 sets
Monday,Advanced,Banded bench press,20 min,4x8,4 sets
Monday,Advanced,Banded muscle-ups,25 min,3x5,3 sets
Tuesday,Advanced,Banded deadlifts heavy,18 min,4x8,4 sets
Tuesday,Advanced,Band-resisted sprints,15 min,5x30m,3 sets
Tuesday,Advanced,Banded Olympic lifts,25 min,4x6,4 sets
Wednesday,Advanced,Advanced band complex,30 min,3 rounds,3 rounds
Wednesday,Advanced,Banded squats with barbell,20 min,4x10,4 sets
Wednesday,Advanced,Banded bench press,20 min,4x8,4 sets
Thursday,Advanced,Banded muscle-ups,25 min,3x5,3 sets
Thursday,Advanced,Banded deadlifts heavy,18 min,4x8,4 sets
Thursday,Advanced,Band-resisted sprints,15 min,5x30m,3 sets
Friday,Advanced,Banded Olympic lifts,25 min,4x6,4 sets
Friday,Advanced,Advanced band complex,30 min,3 rounds,3 rounds
Friday,Advanced,Banded squats with barbell,20 min,4x10,4 sets
Saturday,Advanced,Banded bench press,20 min,4x8,4 sets
Saturday,Advanced,Banded muscle-ups,25 min,3x5,3 sets
Saturday,Advanced,Banded deadlifts heavy,18 min,4x8,4 sets
Sunday,Advanced,Band-resisted sprints,15 min,5x30m,3 sets
Sunday,Advanced,Banded Olympic lifts,25 min,4x6,4 sets
Sunday,Advanced,Advanced band complex,30 min,3 rounds,3 rounds
