Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Brisk walking,20 min,1 session,Daily
Monday,Easy,Low-intensity cycling,20 min,1 session,3-4x/week
Monday,Easy,Marching in place,5 min,3 intervals,3x daily
Tuesday,Easy,Step-ups on low step,10 min,3x15 per leg,3 sets
Tuesday,Easy,Arm bike,15 min,1 session,3x/week
Tuesday,Easy,Water walking,25 min,1 session,Daily
Wednesday,Easy,Dancing,30 min,1 session,3x/week
Wednesday,Easy,Brisk walking,20 min,1 session,Daily
Wednesday,Easy,Low-intensity cycling,20 min,1 session,3-4x/week
Thursday,Easy,Marching in place,5 min,3 intervals,3x daily
Thursday,Easy,Step-ups on low step,10 min,3x15 per leg,3 sets
Thursday,Easy,Arm bike,15 min,1 session,3x/week
Friday,Easy,Water walking,25 min,1 session,Daily
Friday,Easy,Dancing,30 min,1 session,3x/week
Friday,Easy,Brisk walking,20 min,1 session,Daily
Saturday,Easy,Low-intensity cycling,20 min,1 session,3-4x/week
Saturday,Easy,Marching in place,5 min,3 intervals,3x daily
Saturday,Easy,Step-ups on low step,10 min,3x15 per leg,3 sets
Sunday,Easy,Arm bike,15 min,1 session,3x/week
Sunday,Easy,Water walking,25 min,1 session,Daily
Sunday,Easy,Dancing,30 min,1 session,3x/week
