Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Crunches,5 min,3x15,3 sets
Monday,Easy,Dead bug,4 min,3x10 per side,3 sets
Monday,Easy,Plank (20s),3 min,3x20 sec,3 sets
Tuesday,Easy,Modified bicycle crunches,6 min,3x20,3 sets
Tuesday,Easy,Seated leg lifts,4 min,3x15,3 sets
Tuesday,Easy,Standing marches,5 min,3x20 per leg,3 sets
Wednesday,Easy,Wall sit with core engagement,3 min,3x30 sec,3 sets
Wednesday,Easy,Crunches,5 min,3x15,3 sets
Wednesday,Easy,Dead bug,4 min,3x10 per side,3 sets
Thursday,Easy,Plank (20s),3 min,3x20 sec,3 sets
Thursday,Easy,Modified bicycle crunches,6 min,3x20,3 sets
Thursday,Easy,Seated leg lifts,4 min,3x15,3 sets
Friday,Easy,Standing marches,5 min,3x20 per leg,3 sets
Friday,Easy,Wall sit with core engagement,3 min,3x30 sec,3 sets
Friday,Easy,Crunches,5 min,3x15,3 sets
Saturday,Easy,Dead bug,4 min,3x10 per side,3 sets
Saturday,Easy,Plank (20s),3 min,3x20 sec,3 sets
Saturday,Easy,Modified bicycle crunches,6 min,3x20,3 sets
Sunday,Easy,Seated leg lifts,4 min,3x15,3 sets
Sunday,Easy,Standing marches,5 min,3x20 per leg,3 sets
Sunday,Easy,Wall sit with core engagement,3 min,3x30 sec,3 sets
