Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Tabata sprints uphill,4 min,"20 sec sprint, 10 sec rest x8",3 sets
Monday,Advanced,HIIT kettlebell snatch complexes,16 min,4 rounds,3 sets
Monday,Advanced,CrossFit Fran-style workout,20 min,1 round,3 sets
Tuesday,Advanced,Battle rope Tabata,8 min,20s on/10s off x16,2 rounds
Tuesday,Advanced,Sprint pyramid,30 min,100m-200m-300m-200m-100m,2 rounds
Tuesday,Advanced,Assault bike intervals,15 min,15 cal sprint/45s rest,15 rounds
Wednesday,Advanced,Burpee box jump over HIIT,12 min,30s AMRAP/30s rest,12 rounds
Wednesday,Advanced,Tabata sprints uphill,4 min,"20 sec sprint, 10 sec rest x8",3 sets
Wednesday,Advanced,HIIT kettlebell snatch complexes,16 min,4 rounds,3 sets
Thursday,Advanced,CrossFit Fran-style workout,20 min,1 round,3 sets
Thursday,Advanced,Battle rope Tabata,8 min,20s on/10s off x16,2 rounds
Thursday,Advanced,Sprint pyramid,30 min,100m-200m-300m-200m-100m,2 rounds
Friday,Advanced,Assault bike intervals,15 min,15 cal sprint/45s rest,15 rounds
Friday,Advanced,Burpee box jump over HIIT,12 min,30s AMRAP/30s rest,12 rounds
Friday,Advanced,Tabata sprints uphill,4 min,"20 sec sprint, 10 sec rest x8",3 sets
Saturday,Advanced,HIIT kettlebell snatch complexes,16 min,4 rounds,3 sets
Saturday,Advanced,CrossFit Fran-style workout,20 min,1 round,3 sets
Saturday,Advanced,Battle rope Tabata,8 min,20s on/10s off x16,2 rounds
Sunday,Advanced,Sprint pyramid,30 min,100m-200m-300m-200m-100m,2 rounds
Sunday,Advanced,Assault bike intervals,15 min,15 cal sprint/45s rest,15 rounds
Sunday,Advanced,Burpee box jump over HIIT,12 min,30s AMRAP/30s rest,12 rounds
