Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Snatch,25 min,5x3,5 sets
Monday,Advanced,Clean and jerk,30 min,5x3,5 sets
Monday,Advanced,Squat/bench/deadlift 1RM training,40 min,4x1,4 sets
Tuesday,Advanced,Heavy front squats,20 min,5x3,5 sets
Tuesday,Advanced,Weighted pull-ups max,15 min,5x3,5 sets
Tuesday,Advanced,Log press,25 min,5x3,5 sets
Wednesday,Advanced,Atlas stone lift,20 min,5x3,5 sets
Wednesday,Advanced,Snatch,25 min,5x3,5 sets
Wednesday,Advanced,Clean and jerk,30 min,5x3,5 sets
Thursday,Advanced,Squat/bench/deadlift 1RM training,40 min,4x1,4 sets
Thursday,Advanced,Heavy front squats,20 min,5x3,5 sets
Thursday,Advanced,Weighted pull-ups max,15 min,5x3,5 sets
Friday,Advanced,Log press,25 min,5x3,5 sets
Friday,Advanced,Atlas stone lift,20 min,5x3,5 sets
Friday,Advanced,Snatch,25 min,5x3,5 sets
Saturday,Advanced,Clean and jerk,30 min,5x3,5 sets
Saturday,Advanced,Squat/bench/deadlift 1RM training,40 min,4x1,4 sets
Saturday,Advanced,Heavy front squats,20 min,5x3,5 sets
Sunday,Advanced,Weighted pull-ups max,15 min,5x3,5 sets
Sunday,Advanced,Log press,25 min,5x3,5 sets
Sunday,Advanced,Atlas stone lift,20 min,5x3,5 sets
