Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Band pull-aparts,8 min,3x12,3 sets
Monday,Easy,Seated rows,8 min,3x12,3 sets
Monday,Easy,Side steps with band,10 min,3x15,3 sets
Tuesday,Easy,Overhead pulls,6 min,3x12,3 sets
Tuesday,Easy,Bicep curls with band,5 min,3x15,3 sets
Tuesday,Easy,Chest press with band,8 min,3x12,3 sets
Wednesday,Easy,Leg press with band,10 min,3x15,3 sets
Wednesday,Easy,Band pull-aparts,8 min,3x12,3 sets
Wednesday,Easy,Seated rows,8 min,3x12,3 sets
Thursday,Easy,Side steps with band,10 min,3x15,3 sets
Thursday,Easy,Overhead pulls,6 min,3x12,3 sets
Thursday,Easy,Bicep curls with band,5 min,3x15,3 sets
Friday,Easy,Chest press with band,8 min,3x12,3 sets
Friday,Easy,Leg press with band,10 min,3x15,3 sets
Friday,Easy,Band pull-aparts,8 min,3x12,3 sets
Saturday,Easy,Seated rows,8 min,3x12,3 sets
Saturday,Easy,Side steps with band,10 min,3x15,3 sets
Saturday,Easy,Overhead pulls,6 min,3x12,3 sets
Sunday,Easy,Bicep curls with band,5 min,3x15,3 sets
Sunday,Easy,Chest press with band,8 min,3x12,3 sets
Sunday,Easy,Leg press with band,10 min,3x15,3 sets
