Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,High knees (slow),30 sec,3 sets,3 sets
Monday,Easy,Side shuffles,45 sec,3 sets,3 sets
Monday,Easy,Cone step drills,5 min,3 rounds,3 sets
Tuesday,Easy,Marching with arm swings,3 min,3x1 min,3 sets
Tuesday,Easy,Gentle direction changes,6 min,3x10,3 sets
Tuesday,Easy,Walking lunges,8 min,3x15,3 sets
Wednesday,Easy,Balance step patterns,10 min,3 patterns,3 sets
Wednesday,Easy,High knees (slow),30 sec,3 sets,3 sets
Wednesday,Easy,Side shuffles,45 sec,3 sets,3 sets
Thursday,Easy,Cone step drills,5 min,3 rounds,3 sets
Thursday,Easy,Marching with arm swings,3 min,3x1 min,3 sets
Thursday,Easy,Gentle direction changes,6 min,3x10,3 sets
Friday,Easy,Walking lunges,8 min,3x15,3 sets
Friday,Easy,Balance step patterns,10 min,3 patterns,3 sets
Friday,Easy,High knees (slow),30 sec,3 sets,3 sets
Saturday,Easy,Side shuffles,45 sec,3 sets,3 sets
Saturday,Easy,Cone step drills,5 min,3 rounds,3 sets
Saturday,Easy,Marching with arm swings,3 min,3x1 min,3 sets
Sunday,Easy,Gentle direction changes,6 min,3x10,3 sets
Sunday,Easy,Walking lunges,8 min,3x15,3 sets
Sunday,Easy,Balance step patterns,10 min,3 patterns,3 sets
