Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Wall sit (20s),20 sec,3 sets,3 sets
Monday,Easy,Light resistance band rows,8 min,3x12,3 sets
Monday,Easy,Step-ups,10 min,3x15,3 sets
Tuesday,Easy,Modified push-ups hold,5 min,3x30 sec,3 sets
Tuesday,Easy,Chair squats endurance,8 min,3x20,3 sets
Tuesday,Easy,Standing calf raise endurance,6 min,3x25,3 sets
Wednesday,Easy,Arm endurance circles,4 min,3x45 sec,3 sets
Wednesday,Easy,Wall sit (20s),20 sec,3 sets,3 sets
Wednesday,Easy,Light resistance band rows,8 min,3x12,3 sets
Thursday,Easy,Step-ups,10 min,3x15,3 sets
Thursday,Easy,Modified push-ups hold,5 min,3x30 sec,3 sets
Thursday,Easy,Chair squats endurance,8 min,3x20,3 sets
Friday,Easy,Standing calf raise endurance,6 min,3x25,3 sets
Friday,Easy,Arm endurance circles,4 min,3x45 sec,3 sets
Friday,Easy,Wall sit (20s),20 sec,3 sets,3 sets
Saturday,Easy,Light resistance band rows,8 min,3x12,3 sets
Saturday,Easy,Step-ups,10 min,3x15,3 sets
Saturday,Easy,Modified push-ups hold,5 min,3x30 sec,3 sets
Sunday,Easy,Chair squats endurance,8 min,3x20,3 sets
Sunday,Easy,Standing calf raise endurance,6 min,3x25,3 sets
Sunday,Easy,Arm endurance circles,4 min,3x45 sec,3 sets
