Dietary Preference,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan,Budget Preferences
veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Oats with banana and nuts,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Upma with vegetables,Paneer wrap with veggies,Vegetable biryani,Boiled tofu,Upma with vegetables; Paneer wrap with veggies; Vegetable biryani; Boiled tofu,low
vegan,Protein shake with banana,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Banana and peanut butter,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
vegan,Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Nuts and dry fruits,low
non-veg,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Oats with almond milk,Grilled vegetables with lentils,Soup with whole grain toast,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Soup with whole grain toast; Cucumber sticks,low
vegan,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs,low
veg,Protein shake with banana,paneer curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; paneer curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs,low
non-veg,Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Egg sandwich,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; High-protein pasta; Nut mix with raisins,high
vegan,Paratha with curd,Chicken curry with brown rice,High-protein pasta,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Nut mix with raisins,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Multigrain toast with egg; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
non-veg,Protein shake with banana,Baked fish with quinoa,High-protein pasta,Granola bars,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Granola bars,high
vegan,Protein shake with banana,Rajma chawal with salad,Turkey chili,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Turkey chili; Banana and peanut butter,low
vegan,Paratha with curd,Baked fish with quinoa,High-protein pasta,Granola bars,Paratha with curd; Baked fish with quinoa; High-protein pasta; Granola bars,high
veg,Protein shake with banana,Rajma chawal with salad,tofu chili,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; tofu chili; Nut mix with raisins,low
vegan,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Multigrain toast with egg,Lentil curry with rice,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Lentil curry with rice; Grilled chicken with salad; Fruit smoothie,low
veg,tofu sandwich,Baked tofu with quinoa,High-protein pasta,Nut mix with raisins,tofu sandwich; Baked tofu with quinoa; High-protein pasta; Nut mix with raisins,low
vegan,Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Paratha with curd,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Paratha with curd; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
non-veg,Upma with vegetables,Lentil curry with rice,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Lentil curry with rice; Grilled chicken with salad; Boiled eggs,low
vegan,Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs,low
non-veg,Egg sandwich,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; High-protein pasta; Nut mix with raisins,high
veg,Multigrain toast with tofu,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Multigrain toast with tofu; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
non-veg,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,high
vegan,Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs,low
vegan,Multigrain toast with egg,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs,low
veg,Upma with vegetables,Lentil curry with rice,Grilled paneer with salad,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Grilled paneer with salad; Nuts and dry fruits,low
non-veg,Fruit and chia seeds,Zucchini noodles with tomato sauce,Light tofu stir-fry,Roasted seeds,Fruit and chia seeds; Zucchini noodles with tomato sauce; Light tofu stir-fry; Roasted seeds,high
veg,Multigrain toast with tofu,Lentil curry with rice,Grilled paneer with salad,Fruit smoothie,Multigrain toast with tofu; Lentil curry with rice; Grilled paneer with salad; Fruit smoothie,low
veg,Protein shake with banana,paneer curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; paneer curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
veg,Multigrain toast with tofu,paneer salad with whole grain bread,Grilled paneer with salad,Fruit smoothie,Multigrain toast with tofu; paneer salad with whole grain bread; Grilled paneer with salad; Fruit smoothie,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled eggs,low
non-veg,Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Paratha with curd,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
