Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Decline push-ups,8 min,8-12,3 sets
Monday,Intermediate,Jump squats,10 min,10-15,3 sets
Monday,Intermediate,Clapping push-ups,6 min,6-10,3 sets
Tuesday,Intermediate,Pike push-ups,7 min,8-12,3 sets
Tuesday,Intermediate,Single-leg squats,12 min,5-8 per leg,3 sets
Tuesday,Intermediate,Diamond push-ups,5 min,6-10,3 sets
Wednesday,Intermediate,Plyometric lunges,8 min,10-12 per leg,3 sets
Wednesday,Intermediate,Decline push-ups,8 min,8-12,3 sets
Wednesday,Intermediate,Jump squats,10 min,10-15,3 sets
Thursday,Intermediate,Clapping push-ups,6 min,6-10,3 sets
Thursday,Intermediate,Pike push-ups,7 min,8-12,3 sets
Thursday,Intermediate,Single-leg squats,12 min,5-8 per leg,3 sets
Friday,Intermediate,Diamond push-ups,5 min,6-10,3 sets
Friday,Intermediate,Plyometric lunges,8 min,10-12 per leg,3 sets
Friday,Intermediate,Decline push-ups,8 min,8-12,3 sets
Saturday,Intermediate,Jump squats,10 min,10-15,3 sets
Saturday,Intermediate,Clapping push-ups,6 min,6-10,3 sets
Saturday,Intermediate,Pike push-ups,7 min,8-12,3 sets
Sunday,Intermediate,Single-leg squats,12 min,5-8 per leg,3 sets
Sunday,Intermediate,Diamond push-ups,5 min,6-10,3 sets
Sunday,Intermediate,Plyometric lunges,8 min,10-12 per leg,3 sets
