Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Single-leg Romanian deadlift with dumbbell,30 sec hold,3x12,2-3 sets
Monday,Intermediate,Bosu ball single-leg squats,45 sec,5-8 per leg,2 sets
Monday,Intermediate,Standing knee lift with overhead press,1 min,8-10 per leg,2-3 sets
Tuesday,Intermediate,Single-leg deadlift with reach,45 sec,3x10,3 sets
Tuesday,Intermediate,Warrior III pose hold,30 sec each leg,3 sets,3 sets
Tuesday,Intermediate,Single-leg calf raises,1 min,3x15,3 sets
Wednesday,Intermediate,Balance board squats,2 min,3x12,3 sets
Wednesday,Intermediate,Single-leg Romanian deadlift with dumbbell,30 sec hold,3x12,2-3 sets
Wednesday,Intermediate,Bosu ball single-leg squats,45 sec,5-8 per leg,2 sets
Thursday,Intermediate,Standing knee lift with overhead press,1 min,8-10 per leg,2-3 sets
Thursday,Intermediate,Single-leg deadlift with reach,45 sec,3x10,3 sets
Thursday,Intermediate,Warrior III pose hold,30 sec each leg,3 sets,3 sets
Friday,Intermediate,Single-leg calf raises,1 min,3x15,3 sets
Friday,Intermediate,Balance board squats,2 min,3x12,3 sets
Friday,Intermediate,Single-leg Romanian deadlift with dumbbell,30 sec hold,3x12,2-3 sets
Saturday,Intermediate,Bosu ball single-leg squats,45 sec,5-8 per leg,2 sets
Saturday,Intermediate,Standing knee lift with overhead press,1 min,8-10 per leg,2-3 sets
Saturday,Intermediate,Single-leg deadlift with reach,45 sec,3x10,3 sets
Sunday,Intermediate,Warrior III pose hold,30 sec each leg,3 sets,3 sets
Sunday,Intermediate,Single-leg calf raises,1 min,3x15,3 sets
Sunday,Intermediate,Balance board squats,2 min,3x12,3 sets
