Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Dumbbell deadlifts light,8 min,3x12,3 sets
Monday,Easy,Wall push-ups,6 min,3x12,3 sets
Monday,Easy,Bodyweight squats,10 min,3x12,3 sets
Tuesday,Easy,Assisted squats,8 min,3x10,3 sets
Tuesday,Easy,Light overhead press,6 min,3x10,3 sets
Tuesday,Easy,Modified planks,4 min,3x30 sec,3 sets
Wednesday,Easy,Resistance band pulls,8 min,3x15,3 sets
Wednesday,Easy,Dumbbell deadlifts light,8 min,3x12,3 sets
Wednesday,Easy,Wall push-ups,6 min,3x12,3 sets
Thursday,Easy,Bodyweight squats,10 min,3x12,3 sets
Thursday,Easy,Assisted squats,8 min,3x10,3 sets
Thursday,Easy,Light overhead press,6 min,3x10,3 sets
Friday,Easy,Modified planks,4 min,3x30 sec,3 sets
Friday,Easy,Resistance band pulls,8 min,3x15,3 sets
Friday,Easy,Dumbbell deadlifts light,8 min,3x12,3 sets
Saturday,Easy,Wall push-ups,6 min,3x12,3 sets
Saturday,Easy,Bodyweight squats,10 min,3x12,3 sets
Saturday,Easy,Assisted squats,8 min,3x10,3 sets
Sunday,Easy,Light overhead press,6 min,3x10,3 sets
Sunday,Easy,Modified planks,4 min,3x30 sec,3 sets
Sunday,Easy,Resistance band pulls,8 min,3x15,3 sets
