Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan
Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie
Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie
Upma with vegetables,Paneer wrap with veggies,Vegetable biryani,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Vegetable biryani; Boiled eggs
Protein shake with banana,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Banana and peanut butter
Upma with vegetables,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits
Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Nuts and dry fruits
Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter
Oats with almond milk,Grilled vegetables with lentils,Soup with whole grain toast,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Soup with whole grain toast; Cucumber sticks
Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars
Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs
Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter
Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs
Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins
Egg sandwich,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; High-protein pasta; Nut mix with raisins
Paratha with curd,Chicken curry with brown rice,High-protein pasta,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Nut mix with raisins
