Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Seated hamstring stretch,3 min,3x30 sec,3 sets
Monday,Easy,Cat-cow stretch,2 min,3x10,3 sets
Monday,Easy,Shoulder rolls,1 min,3x10 each direction,3 sets
Tuesday,Easy,Neck stretches,2 min,3x15 sec each direction,3 sets
Tuesday,Easy,Ankle circles,1 min,3x10 each direction,3 sets
Tuesday,Easy,Gentle spinal twist,4 min,3x30 sec each side,3 sets
Wednesday,Easy,Standing forward fold,3 min,3x30 sec,3 sets
Wednesday,Easy,Seated hamstring stretch,3 min,3x30 sec,3 sets
Wednesday,Easy,Cat-cow stretch,2 min,3x10,3 sets
Thursday,Easy,Shoulder rolls,1 min,3x10 each direction,3 sets
Thursday,Easy,Neck stretches,2 min,3x15 sec each direction,3 sets
Thursday,Easy,Ankle circles,1 min,3x10 each direction,3 sets
Friday,Easy,Gentle spinal twist,4 min,3x30 sec each side,3 sets
Friday,Easy,Standing forward fold,3 min,3x30 sec,3 sets
Friday,Easy,Seated hamstring stretch,3 min,3x30 sec,3 sets
Saturday,Easy,Cat-cow stretch,2 min,3x10,3 sets
Saturday,Easy,Shoulder rolls,1 min,3x10 each direction,3 sets
Saturday,Easy,Neck stretches,2 min,3x15 sec each direction,3 sets
Sunday,Easy,Ankle circles,1 min,3x10 each direction,3 sets
Sunday,Easy,Gentle spinal twist,4 min,3x30 sec each side,3 sets
Sunday,Easy,Standing forward fold,3 min,3x30 sec,3 sets
