Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Jumping jacks,30 sec,3x30 sec,3 sets
Monday,Easy,Squat jumps (light),5 min,3x15,3 sets
Monday,Easy,Lateral hops,4 min,3x15,3 sets
Tuesday,Easy,Step-up jumps,6 min,3x12 per leg,3 sets
Tuesday,Easy,Modified burpees,8 min,3x8,3 sets
Tuesday,Easy,Gentle hop in place,3 min,3x20,3 sets
Wednesday,Easy,Seated leg bounces,4 min,3x25,3 sets
Wednesday,Easy,Jumping jacks,30 sec,3x30 sec,3 sets
Wednesday,Easy,Squat jumps (light),5 min,3x15,3 sets
Thursday,Easy,Lateral hops,4 min,3x15,3 sets
Thursday,Easy,Step-up jumps,6 min,3x12 per leg,3 sets
Thursday,Easy,Modified burpees,8 min,3x8,3 sets
Friday,Easy,Gentle hop in place,3 min,3x20,3 sets
Friday,Easy,Seated leg bounces,4 min,3x25,3 sets
Friday,Easy,Jumping jacks,30 sec,3x30 sec,3 sets
Saturday,Easy,Squat jumps (light),5 min,3x15,3 sets
Saturday,Easy,Lateral hops,4 min,3x15,3 sets
Saturday,Easy,Step-up jumps,6 min,3x12 per leg,3 sets
Sunday,Easy,Modified burpees,8 min,3x8,3 sets
Sunday,Easy,Gentle hop in place,3 min,3x20,3 sets
Sunday,Easy,Seated leg bounces,4 min,3x25,3 sets
