Day,Level,Exercise
Monday,Intermediate,Decline push-ups
Monday,Intermediate,Jump squats
Monday,Intermediate,Clapping push-ups
Tuesday,Intermediate,Decline push-ups
Tuesday,Intermediate,Jump squats
Tuesday,Intermediate,Clapping push-ups
Wednesday,Intermediate,Decline push-ups
Wednesday,Intermediate,Jump squats
Wednesday,Intermediate,Clapping push-ups
Thursday,Intermediate,Decline push-ups
Thursday,Intermediate,Jump squats
Thursday,Intermediate,Clapping push-ups
Friday,Intermediate,Decline push-ups
Friday,Intermediate,Jump squats
Friday,Intermediate,Clapping push-ups
Saturday,Intermediate,Decline push-ups
Saturday,Intermediate,Jump squats
Saturday,Intermediate,Clapping push-ups
Sunday,Intermediate,Decline push-ups
Sunday,Intermediate,Jump squats
Sunday,Intermediate,Clapping push-ups
