Day,Level,Exercise
Monday,Easy,Jumping jacks
Monday,Easy,Squat jumps (light)
Monday,Easy,Lateral hops
Tuesday,Easy,Jumping jacks
Tuesday,Easy,Squat jumps (light)
Tuesday,Easy,Lateral hops
Wednesday,Easy,Jumping jacks
Wednesday,Easy,Squat jumps (light)
Wednesday,Easy,Lateral hops
Thursday,Easy,Jumping jacks
Thursday,Easy,Squat jumps (light)
Thursday,Easy,Lateral hops
Friday,Easy,Jumping jacks
Friday,Easy,Squat jumps (light)
Friday,Easy,Lateral hops
Saturday,Easy,Jumping jacks
Saturday,Easy,Squat jumps (light)
Saturday,Easy,Lateral hops
Sunday,Easy,Jumping jacks
Sunday,Easy,Squat jumps (light)
Sunday,Easy,Lateral hops
