Day,Level,Exercise
Monday,Intermediate,Single-leg Romanian deadlift with dumbbell
Monday,Intermediate,Bosu ball single-leg squats
Monday,Intermediate,Standing knee lift with overhead press
Tuesday,Intermediate,Single-leg Romanian deadlift with dumbbell
Tuesday,Intermediate,Bosu ball single-leg squats
Tuesday,Intermediate,Standing knee lift with overhead press
Wednesday,Intermediate,Single-leg Romanian deadlift with dumbbell
Wednesday,Intermediate,Bosu ball single-leg squats
Wednesday,Intermediate,Standing knee lift with overhead press
Thursday,Intermediate,Single-leg Romanian deadlift with dumbbell
Thursday,Intermediate,Bosu ball single-leg squats
Thursday,Intermediate,Standing knee lift with overhead press
Friday,Intermediate,Single-leg Romanian deadlift with dumbbell
Friday,Intermediate,Bosu ball single-leg squats
Friday,Intermediate,Standing knee lift with overhead press
Saturday,Intermediate,Single-leg Romanian deadlift with dumbbell
Saturday,Intermediate,Bosu ball single-leg squats
Saturday,Intermediate,Standing knee lift with overhead press
Sunday,Intermediate,Single-leg Romanian deadlift with dumbbell
Sunday,Intermediate,Bosu ball single-leg squats
Sunday,Intermediate,Standing knee lift with overhead press
