Recipe,Ingredient,Alternative_1,Alternative_2,Alternative_3
Chapati with dal and mixed vegetables,Whole wheat flour,All-purpose flour,Millet flour,Chickpea flour
Chapati with dal and mixed vegetables,Water,Milk,Buttermilk,Vegetable broth
Chapati with dal and mixed vegetables,Salt,Sea salt,Rock salt,Herb salt
Chapati with dal and mixed vegetables,Moong dal,Masoor dal,Chana dal,Toor dal
Chapati with dal and mixed vegetables,Onion,Shallots,Green onions,Leeks
Chapati with dal and mixed vegetables,Tomato,Bell peppers,Canned tomatoes,Cherry tomatoes
Chapati with dal and mixed vegetables,Garlic,Garlic powder,Asafoetida,Ginger
Chapati with dal and mixed vegetables,Ginger,Ginger powder,Galangal,Fresh turmeric
Chapati with dal and mixed vegetables,Turmeric,Saffron,Curry powder,Paprika
Chapati with dal and mixed vegetables,Cumin seeds,Coriander seeds,Fennel seeds,Caraway seeds
Chapati with dal and mixed vegetables,Mixed vegetables,Frozen vegetables,Single vegetable,Root vegetables
Chapati with dal and mixed vegetables,Oil,Ghee,Butter,Coconut oil
Chapati with dal and mixed vegetables,Red chili powder,Cayenne pepper,Paprika,Black pepper
Vegetable biryani,Basmati rice,Jasmine rice,Brown rice,Quinoa
Vegetable biryani,Mixed vegetables,Cauliflower,Paneer,Mushrooms
Vegetable biryani,Onions,Shallots,Leeks,Green onions
Vegetable biryani,Tomatoes,Tomato puree,Bell peppers,Canned tomatoes
Vegetable biryani,Ginger-garlic paste,Fresh ginger + garlic,Garlic powder + ginger powder,Onion paste
Vegetable biryani,Biryani masala,Garam masala,Curry powder,Mixed spices
Vegetable biryani,Turmeric,Saffron,Curry powder,Paprika
Vegetable biryani,Red chili powder,Cayenne pepper,Paprika,Hot sauce
Vegetable biryani,Garam masala,Curry powder,Chinese five spice,Mixed herbs
Vegetable biryani,Mint leaves,Basil leaves,Cilantro,Parsley
Vegetable biryani,Coriander leaves,Parsley,Mint,Basil
Vegetable biryani,Ghee,Butter,Coconut oil,Olive oil
Vegetable biryani,Bay leaves,Curry leaves,Thyme,Rosemary
Vegetable biryani,Cardamom,Cinnamon,Cloves,Star anise
Vegetable biryani,Cinnamon,Cassia,Nutmeg,Allspice
Vegetable biryani,Cloves,Allspice,Star anise,Cardamom
Turkey chili,Ground turkey,Ground chicken,Ground beef,Lentils
Turkey chili,Kidney beans,Black beans,Pinto beans,Chickpeas
Turkey chili,Black beans,Navy beans,Kidney beans,Chickpeas
Turkey chili,Onions,Shallots,Leeks,Green onions
Turkey chili,Bell peppers,Poblano peppers,Jalapeños,Celery
Turkey chili,Tomatoes,Tomato sauce,Canned tomatoes,Tomato paste
Turkey chili,Garlic,Garlic powder,Shallots,Onion powder
Turkey chili,Chili powder,Paprika,Cayenne,Chipotle powder
Turkey chili,Cumin,Coriander,Caraway,Fennel
Turkey chili,Paprika,Smoked paprika,Chili powder,Cayenne
Turkey chili,Oregano,Thyme,Marjoram,Basil
Turkey chili,Olive oil,Vegetable oil,Canola oil,Avocado oil
Turkey chili,Chicken broth,Vegetable broth,Beef broth,Water
Stuffed paneer chapati with salad,Whole wheat flour,All-purpose flour,Chickpea flour,Rice flour
Stuffed paneer chapati with salad,Paneer,Ricotta cheese,Cottage cheese,Tofu
Stuffed paneer chapati with salad,Green chilies,Jalapeños,Serrano peppers,Red pepper flakes
Stuffed paneer chapati with salad,Coriander leaves,Parsley,Mint,Basil
Stuffed paneer chapati with salad,Cucumber,Zucchini,Celery,Radish
Stuffed paneer chapati with salad,Lettuce,Spinach,Arugula,Cabbage
Stuffed paneer chapati with salad,Lemon juice,Lime juice,Vinegar,Orange juice
Soup with whole grain toast,Mixed vegetables,Single vegetables,Frozen vegetables,Canned vegetables
Soup with whole grain toast,Vegetable broth,Chicken broth,Water,Bone broth
Soup with whole grain toast,Celery,Leeks,Fennel,Green onions
Soup with whole grain toast,Thyme,Oregano,Rosemary,Sage
Soup with whole grain toast,Bay leaves,Curry leaves,Thyme sprigs,Rosemary sprigs
Soup with whole grain toast,Whole grain bread,Sourdough bread,Rye bread,Multigrain crackers
Soup with whole grain toast,Butter,Margarine,Olive oil,Coconut oil
Grilled chicken with salad,Chicken breast,Chicken thighs,Turkey breast,Tofu
Grilled chicken with salad,Olive oil,Avocado oil,Canola oil,Coconut oil
Grilled chicken with salad,Lemon juice,Lime juice,Orange juice,Vinegar
Grilled chicken with salad,Rosemary,Thyme,Oregano,Sage
Grilled chicken with salad,Mixed greens,Spinach,Arugula,Romaine lettuce
Grilled chicken with salad,Bell peppers,Cucumber,Radish,Celery
Grilled chicken with salad,Salad dressing,Olive oil + vinegar,Lemon juice + oil,Yogurt dressing
High-protein pasta,Whole wheat pasta,Chickpea pasta,Lentil pasta,Zucchini noodles
High-protein pasta,Chicken breast,Turkey breast,Tofu,Tempeh
High-protein pasta,Spinach,Kale,Arugula,Swiss chard
High-protein pasta,Mushrooms,Zucchini,Bell peppers,Broccoli
High-protein pasta,Parmesan cheese,Nutritional yeast,Pecorino Romano,Cheddar cheese
High-protein pasta,Italian herbs,Basil,Oregano,Thyme
Light tofu stir-fry,Firm tofu,Extra-firm tofu,Tempeh,Paneer
Light tofu stir-fry,Broccoli,Cauliflower,Green beans,Snap peas
Light tofu stir-fry,Carrots,Bell peppers,Zucchini,Mushrooms
Light tofu stir-fry,Soy sauce,Tamari,Coconut aminos,Fish sauce
Light tofu stir-fry,Sesame oil,Peanut oil,Sunflower oil,Olive oil
Light tofu stir-fry,Vegetable oil,Canola oil,Sunflower oil,Coconut oil
Light tofu stir-fry,Green onions,Chives,Leeks,Regular onions
Quinoa salad with steamed veggies,Quinoa,Brown rice,Bulgur wheat,Millet
Quinoa salad with steamed veggies,Broccoli,Cauliflower,Green beans,Asparagus
Quinoa salad with steamed veggies,Zucchini,Yellow squash,Cucumber,Eggplant
Quinoa salad with steamed veggies,Parsley,Cilantro,Mint,Basil
Quinoa salad with steamed veggies,Cherry tomatoes,Regular tomatoes,Grape tomatoes,Sun-dried tomatoes
Paneer wrap with veggies,Whole wheat tortilla,Corn tortilla,Lettuce wrap,Naan bread
Paneer wrap with veggies,Paneer,Cottage cheese,Ricotta,Tofu
Paneer wrap with veggies,Bell peppers,Zucchini,Mushrooms,Carrots
Paneer wrap with veggies,Mint chutney,Cilantro chutney,Yogurt sauce,Hummus
Chicken salad with whole grain bread,Cooked chicken breast,Turkey breast,Tuna,Chickpeas
Chicken salad with whole grain bread,Mixed greens,Spinach,Arugula,Iceberg lettuce
Chicken salad with whole grain bread,Whole grain bread,Sourdough,Rye bread,Pita bread
Chicken salad with whole grain bread,Mayonnaise,Greek yogurt,Avocado,Tahini
