Day,Level,Exercise
Monday,Easy,Crunches
Monday,Easy,Dead bug
Monday,Easy,Plank (20s)
Tuesday,Easy,Crunches
Tuesday,Easy,Dead bug
Tuesday,Easy,Plank (20s)
Wednesday,Easy,Crunches
Wednesday,Easy,Dead bug
Wednesday,Easy,Plank (20s)
Thursday,Easy,Crunches
Thursday,Easy,Dead bug
Thursday,Easy,Plank (20s)
Friday,Easy,Crunches
Friday,Easy,Dead bug
Friday,Easy,Plank (20s)
Saturday,Easy,Crunches
Saturday,Easy,Dead bug
Saturday,Easy,Plank (20s)
Sunday,Easy,Crunches
Sunday,Easy,Dead bug
Sunday,Easy,Plank (20s)
