Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Ankle circles,1 min,10 each direction,3 sets
Monday,Easy,Arm swings,1 min,20 forward/backward,3 sets
Monday,Easy,Neck rotations,1 min,10 each direction,3 sets
Tuesday,Easy,Hip circles,2 min,10 each direction,3 sets
Tuesday,Easy,Shoulder shrugs,1 min,15 reps,3 sets
Tuesday,Easy,Gentle torso twists,2 min,10 each side,3 sets
Wednesday,Easy,Knee to chest,3 min,15 each leg,3 sets
Wednesday,Easy,Ankle circles,1 min,10 each direction,3 sets
Wednesday,Easy,Arm swings,1 min,20 forward/backward,3 sets
Thursday,Easy,Neck rotations,1 min,10 each direction,3 sets
Thursday,Easy,Hip circles,2 min,10 each direction,3 sets
Thursday,Easy,Shoulder shrugs,1 min,15 reps,3 sets
Friday,Easy,Gentle torso twists,2 min,10 each side,3 sets
Friday,Easy,Knee to chest,3 min,15 each leg,3 sets
Friday,Easy,Ankle circles,1 min,10 each direction,3 sets
Saturday,Easy,Arm swings,1 min,20 forward/backward,3 sets
Saturday,Easy,Neck rotations,1 min,10 each direction,3 sets
Saturday,Easy,Hip circles,2 min,10 each direction,3 sets
Sunday,Easy,Shoulder shrugs,1 min,15 reps,3 sets
Sunday,Easy,Gentle torso twists,2 min,10 each side,3 sets
Sunday,Easy,Knee to chest,3 min,15 each leg,3 sets
