Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Single-leg stand,10–20 sec,3 sets,3 sets
Monday,Easy,Heel-to-toe walk,1 min,3 rounds,3 rounds
Monday,Easy,Seated leg lift,30 sec each leg,3 sets,3 sets
Tuesday,Easy,Standing on one foot with eyes closed,15 sec,3 sets,3 sets
Tuesday,Easy,Tandem walk,2 min,3 rounds,3 rounds
Tuesday,Easy,Balance beam walk,1 min,3 sets,3 sets
Wednesday,Easy,Single-leg glute bridge,20 sec each leg,3 sets,3 sets
Wednesday,Easy,Single-leg stand,10–20 sec,3 sets,3 sets
Wednesday,Easy,Heel-to-toe walk,1 min,3 rounds,3 rounds
Thursday,Easy,Seated leg lift,30 sec each leg,3 sets,3 sets
Thursday,Easy,Standing on one foot with eyes closed,15 sec,3 sets,3 sets
Thursday,Easy,Tandem walk,2 min,3 rounds,3 rounds
Friday,Easy,Balance beam walk,1 min,3 sets,3 sets
Friday,Easy,Single-leg glute bridge,20 sec each leg,3 sets,3 sets
Friday,Easy,Single-leg stand,10–20 sec,3 sets,3 sets
Saturday,Easy,Heel-to-toe walk,1 min,3 rounds,3 rounds
Saturday,Easy,Seated leg lift,30 sec each leg,3 sets,3 sets
Saturday,Easy,Standing on one foot with eyes closed,15 sec,3 sets,3 sets
Sunday,Easy,Tandem walk,2 min,3 rounds,3 rounds
Sunday,Easy,Balance beam walk,1 min,3 sets,3 sets
Sunday,Easy,Single-leg glute bridge,20 sec each leg,3 sets,3 sets
