Day,Level,Exercise
Monday,Advanced,Heavy Turkish get-up
Monday,Advanced,Atlas stone lift
Monday,Advanced,Yoke carry
Tuesday,Advanced,Heavy Turkish get-up
Tuesday,Advanced,Atlas stone lift
Tuesday,Advanced,Yoke carry
Wednesday,Advanced,Heavy Turkish get-up
Wednesday,Advanced,Atlas stone lift
Wednesday,Advanced,Yoke carry
Thursday,Advanced,Heavy Turkish get-up
Thursday,Advanced,Atlas stone lift
Thursday,Advanced,Yoke carry
Friday,Advanced,Heavy Turkish get-up
Friday,Advanced,Atlas stone lift
Friday,Advanced,Yoke carry
Saturday,Advanced,Heavy Turkish get-up
Saturday,Advanced,Atlas stone lift
Saturday,Advanced,Yoke carry
Sunday,Advanced,Heavy Turkish get-up
Sunday,Advanced,Atlas stone lift
Sunday,Advanced,Yoke carry
