Day,Level,Exercise
Monday,Advanced,One-arm push-ups
Monday,Advanced,Pistol squats with jump
Monday,Advanced,Handstand push-ups freestanding
Tuesday,Advanced,One-arm push-ups
Tuesday,Advanced,Pistol squats with jump
Tuesday,Advanced,Handstand push-ups freestanding
Wednesday,Advanced,One-arm push-ups
Wednesday,Advanced,Pistol squats with jump
Wednesday,Advanced,Handstand push-ups freestanding
Thursday,Advanced,One-arm push-ups
Thursday,Advanced,Pistol squats with jump
Thursday,Advanced,Handstand push-ups freestanding
Friday,Advanced,One-arm push-ups
Friday,Advanced,Pistol squats with jump
Friday,Advanced,Handstand push-ups freestanding
Saturday,Advanced,One-arm push-ups
Saturday,Advanced,Pistol squats with jump
Saturday,Advanced,Handstand push-ups freestanding
Sunday,Advanced,One-arm push-ups
Sunday,Advanced,Pistol squats with jump
Sunday,Advanced,Handstand push-ups freestanding
