Day,Level,Exercise
Monday,Intermediate,Banded chest fly
Monday,Intermediate,Banded thrusters
Monday,Intermediate,Banded deadlifts
Tuesday,Intermediate,Banded chest fly
Tuesday,Intermediate,Banded thrusters
Tuesday,Intermediate,Banded deadlifts
Wednesday,Intermediate,Banded chest fly
Wednesday,Intermediate,Banded thrusters
Wednesday,Intermediate,Banded deadlifts
Thursday,Intermediate,Banded chest fly
Thursday,Intermediate,Banded thrusters
Thursday,Intermediate,Banded deadlifts
Friday,Intermediate,Banded chest fly
Friday,Intermediate,Banded thrusters
Friday,Intermediate,Banded deadlifts
Saturday,Intermediate,Banded chest fly
Saturday,Intermediate,Banded thrusters
Saturday,Intermediate,Banded deadlifts
Sunday,Intermediate,Banded chest fly
Sunday,Intermediate,Banded thrusters
Sunday,Intermediate,Banded deadlifts
