Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Sprint shuttles 10x20m,15 min,5x20m,3 sets
Monday,Intermediate,Agility ladder with push-ups,12 min,3 rounds,3 sets
Monday,Intermediate,Resisted sled runs,10 min,5x30m,3 sets
Tuesday,Intermediate,T-drill,8 min,3x6,3 sets
Tuesday,Intermediate,Box drill,6 min,3x8,3 sets
Tuesday,Intermediate,Lateral cone hops,10 min,3x12,3 sets
Wednesday,Intermediate,Sprint intervals,18 min,6x50m,3 sets
Wednesday,Intermediate,Sprint shuttles 10x20m,15 min,5x20m,3 sets
Wednesday,Intermediate,Agility ladder with push-ups,12 min,3 rounds,3 sets
Thursday,Intermediate,Resisted sled runs,10 min,5x30m,3 sets
Thursday,Intermediate,T-drill,8 min,3x6,3 sets
Thursday,Intermediate,Box drill,6 min,3x8,3 sets
Friday,Intermediate,Lateral cone hops,10 min,3x12,3 sets
Friday,Intermediate,Sprint intervals,18 min,6x50m,3 sets
Friday,Intermediate,Sprint shuttles 10x20m,15 min,5x20m,3 sets
Saturday,Intermediate,Agility ladder with push-ups,12 min,3 rounds,3 sets
Saturday,Intermediate,Resisted sled runs,10 min,5x30m,3 sets
Saturday,Intermediate,T-drill,8 min,3x6,3 sets
Sunday,Intermediate,Box drill,6 min,3x8,3 sets
Sunday,Intermediate,Lateral cone hops,10 min,3x12,3 sets
Sunday,Intermediate,Sprint intervals,18 min,6x50m,3 sets
