Day,Level,Exercise
Monday,Intermediate,Sprint shuttles 10x20m
Monday,Intermediate,Agility ladder with push-ups
Monday,Intermediate,Resisted sled runs
Tuesday,Intermediate,Sprint shuttles 10x20m
Tuesday,Intermediate,Agility ladder with push-ups
Tuesday,Intermediate,Resisted sled runs
Wednesday,Intermediate,Sprint shuttles 10x20m
Wednesday,Intermediate,Agility ladder with push-ups
Wednesday,Intermediate,Resisted sled runs
Thursday,Intermediate,Sprint shuttles 10x20m
Thursday,Intermediate,Agility ladder with push-ups
Thursday,Intermediate,Resisted sled runs
Friday,Intermediate,Sprint shuttles 10x20m
Friday,Intermediate,Agility ladder with push-ups
Friday,Intermediate,Resisted sled runs
Saturday,Intermediate,Sprint shuttles 10x20m
Saturday,Intermediate,Agility ladder with push-ups
Saturday,Intermediate,Resisted sled runs
Sunday,Intermediate,Sprint shuttles 10x20m
Sunday,Intermediate,Agility ladder with push-ups
Sunday,Intermediate,Resisted sled runs
