Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Push-ups max reps with tempo,12 min,3x15,3 sets
Monday,Intermediate,Squats,15 min,4x25,4 sets
Monday,Intermediate,Plank to push-up transitions,8 min,3x10,3 sets
Tuesday,Intermediate,Lunges endurance,12 min,3x20 per leg,3 sets
Tuesday,Intermediate,Bodyweight rows endurance,10 min,3x18,3 sets
Tuesday,Intermediate,Wall sit progression,6 min,3x1 min,3 sets
Wednesday,Intermediate,Bear crawl endurance,8 min,3x45 sec,3 sets
Wednesday,Intermediate,Push-ups max reps with tempo,12 min,3x15,3 sets
Wednesday,Intermediate,Squats,15 min,4x25,4 sets
Thursday,Intermediate,Plank to push-up transitions,8 min,3x10,3 sets
Thursday,Intermediate,Lunges endurance,12 min,3x20 per leg,3 sets
Thursday,Intermediate,Bodyweight rows endurance,10 min,3x18,3 sets
Friday,Intermediate,Wall sit progression,6 min,3x1 min,3 sets
Friday,Intermediate,Bear crawl endurance,8 min,3x45 sec,3 sets
Friday,Intermediate,Push-ups max reps with tempo,12 min,3x15,3 sets
Saturday,Intermediate,Squats,15 min,4x25,4 sets
Saturday,Intermediate,Plank to push-up transitions,8 min,3x10,3 sets
Saturday,Intermediate,Lunges endurance,12 min,3x20 per leg,3 sets
Sunday,Intermediate,Bodyweight rows endurance,10 min,3x18,3 sets
Sunday,Intermediate,Wall sit progression,6 min,3x1 min,3 sets
Sunday,Intermediate,Bear crawl endurance,8 min,3x45 sec,3 sets
