Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,Dumbbell curls light,8 min,3x12,3 sets
Monday,Easy,Bodyweight squats,10 min,3x12,3 sets
Monday,Easy,Push-ups,6 min,3x10,3 sets
Tuesday,Easy,Assisted pull-ups,8 min,3x8,3 sets
Tuesday,Easy,Dumbbell press light,8 min,3x12,3 sets
Tuesday,Easy,Leg raises,6 min,3x15,3 sets
Wednesday,Easy,Tricep dips on chair,5 min,3x10,3 sets
Wednesday,Easy,Dumbbell curls light,8 min,3x12,3 sets
Wednesday,Easy,Bodyweight squats,10 min,3x12,3 sets
Thursday,Easy,Push-ups,6 min,3x10,3 sets
Thursday,Easy,Assisted pull-ups,8 min,3x8,3 sets
Thursday,Easy,Dumbbell press light,8 min,3x12,3 sets
Friday,Easy,Leg raises,6 min,3x15,3 sets
Friday,Easy,Tricep dips on chair,5 min,3x10,3 sets
Friday,Easy,Dumbbell curls light,8 min,3x12,3 sets
Saturday,Easy,Bodyweight squats,10 min,3x12,3 sets
Saturday,Easy,Push-ups,6 min,3x10,3 sets
Saturday,Easy,Assisted pull-ups,8 min,3x8,3 sets
Sunday,Easy,Dumbbell press light,8 min,3x12,3 sets
Sunday,Easy,Leg raises,6 min,3x15,3 sets
Sunday,Easy,Tricep dips on chair,5 min,3x10,3 sets
