Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Pistol squat on Bosu ball,1 min,3-5 per leg,2 sets
Monday,Advanced,One-legged plank with shoulder taps,30 sec,3x8,2-3 sets
Monday,Advanced,Single-leg hop to balance on unstable surface,2 min,5-8 hops per leg,2 sets
Tuesday,Advanced,Single-leg Turkish get-up,3 min,3x3 per leg,3 sets
Tuesday,Advanced,Handstand wall hold,30 sec,3 sets,3 sets
Tuesday,Advanced,Single-leg burpees,2 min,3x5 per leg,3 sets
Wednesday,Advanced,Advanced balance beam routine,5 min,3 rounds,3 rounds
Wednesday,Advanced,Pistol squat on Bosu ball,1 min,3-5 per leg,2 sets
Wednesday,Advanced,One-legged plank with shoulder taps,30 sec,3x8,2-3 sets
Thursday,Advanced,Single-leg hop to balance on unstable surface,2 min,5-8 hops per leg,2 sets
Thursday,Advanced,Single-leg Turkish get-up,3 min,3x3 per leg,3 sets
Thursday,Advanced,Handstand wall hold,30 sec,3 sets,3 sets
Friday,Advanced,Single-leg burpees,2 min,3x5 per leg,3 sets
Friday,Advanced,Advanced balance beam routine,5 min,3 rounds,3 rounds
Friday,Advanced,Pistol squat on Bosu ball,1 min,3-5 per leg,2 sets
Saturday,Advanced,One-legged plank with shoulder taps,30 sec,3x8,2-3 sets
Saturday,Advanced,Single-leg hop to balance on unstable surface,2 min,5-8 hops per leg,2 sets
Saturday,Advanced,Single-leg Turkish get-up,3 min,3x3 per leg,3 sets
Sunday,Advanced,Handstand wall hold,30 sec,3 sets,3 sets
Sunday,Advanced,Single-leg burpees,2 min,3x5 per leg,3 sets
Sunday,Advanced,Advanced balance beam routine,5 min,3 rounds,3 rounds
