Day,Level,Exercise,Duration,Reps,Sets
Monday,Advanced,Oversplits with blocks,15 min,3x2 min each leg,3 sets
Monday,Advanced,Standing scorpion pose,12 min,3x30 sec,3 sets
Monday,Advanced,Backbend walkover,20 min,3x5,3 sets
Tuesday,Advanced,Full front splits,18 min,3x2 min each leg,3 sets
Tuesday,Advanced,Advanced backbend variations,25 min,3x1 min,3 sets
Tuesday,Advanced,Contortion-style stretching,30 min,3x90 sec,3 sets
Wednesday,Advanced,Dynamic flexibility flow,22 min,3 flows,3 sets
Wednesday,Advanced,Oversplits with blocks,15 min,3x2 min each leg,3 sets
Wednesday,Advanced,Standing scorpion pose,12 min,3x30 sec,3 sets
Thursday,Advanced,Backbend walkover,20 min,3x5,3 sets
Thursday,Advanced,Full front splits,18 min,3x2 min each leg,3 sets
Thursday,Advanced,Advanced backbend variations,25 min,3x1 min,3 sets
Friday,Advanced,Contortion-style stretching,30 min,3x90 sec,3 sets
Friday,Advanced,Dynamic flexibility flow,22 min,3 flows,3 sets
Friday,Advanced,Oversplits with blocks,15 min,3x2 min each leg,3 sets
Saturday,Advanced,Standing scorpion pose,12 min,3x30 sec,3 sets
Saturday,Advanced,Backbend walkover,20 min,3x5,3 sets
Saturday,Advanced,Full front splits,18 min,3x2 min each leg,3 sets
Sunday,Advanced,Advanced backbend variations,25 min,3x1 min,3 sets
Sunday,Advanced,Contortion-style stretching,30 min,3x90 sec,3 sets
Sunday,Advanced,Dynamic flexibility flow,22 min,3 flows,3 sets
