Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Side plank with leg lift,8 min,3x30 sec per side,3 sets
Monday,Intermediate,Hanging knee raises,10 min,3x12,3 sets
Monday,Intermediate,Weighted Russian twists,6 min,3x25,3 sets
Tuesday,Intermediate,Mountain climbers,5 min,3x30 sec,3 sets
Tuesday,Intermediate,Plank variations,12 min,3x45 sec,3 sets
Tuesday,Intermediate,Hollow body holds,4 min,3x30 sec,3 sets
Wednesday,Intermediate,Bird dog,8 min,3x15 per side,3 sets
Wednesday,Intermediate,Side plank with leg lift,8 min,3x30 sec per side,3 sets
Wednesday,Intermediate,Hanging knee raises,10 min,3x12,3 sets
Thursday,Intermediate,Weighted Russian twists,6 min,3x25,3 sets
Thursday,Intermediate,Mountain climbers,5 min,3x30 sec,3 sets
Thursday,Intermediate,Plank variations,12 min,3x45 sec,3 sets
Friday,Intermediate,Hollow body holds,4 min,3x30 sec,3 sets
Friday,Intermediate,Bird dog,8 min,3x15 per side,3 sets
Friday,Intermediate,Side plank with leg lift,8 min,3x30 sec per side,3 sets
Saturday,Intermediate,Hanging knee raises,10 min,3x12,3 sets
Saturday,Intermediate,Weighted Russian twists,6 min,3x25,3 sets
Saturday,Intermediate,Mountain climbers,5 min,3x30 sec,3 sets
Sunday,Intermediate,Plank variations,12 min,3x45 sec,3 sets
Sunday,Intermediate,Hollow body holds,4 min,3x30 sec,3 sets
Sunday,Intermediate,Bird dog,8 min,3x15 per side,3 sets
