Day,Level,Exercise,Duration,Reps,Sets
Monday,Easy,20s jog / 40s walk x5,5 min,5 intervals,3 sets
Monday,Easy,Low-impact jumping jacks intervals,8 min,30s on/30s off,3 sets
Monday,Easy,Bike sprints light,5 min,6 intervals,3 sets
Tuesday,Easy,Step-up intervals,10 min,45s on/15s off,3 sets
Tuesday,Easy,Arm cycling intervals,6 min,30s on/30s off,3 sets
Tuesday,Easy,Modified burpees,8 min,20s on/40s off,3 sets
Wednesday,Easy,Walking intervals,15 min,2 min fast/1 min slow,5 rounds
Wednesday,Easy,20s jog / 40s walk x5,5 min,5 intervals,3 sets
Wednesday,Easy,Low-impact jumping jacks intervals,8 min,30s on/30s off,3 sets
Thursday,Easy,Bike sprints light,5 min,6 intervals,3 sets
Thursday,Easy,Step-up intervals,10 min,45s on/15s off,3 sets
Thursday,Easy,Arm cycling intervals,6 min,30s on/30s off,3 sets
Friday,Easy,Modified burpees,8 min,20s on/40s off,3 sets
Friday,Easy,Walking intervals,15 min,2 min fast/1 min slow,5 rounds
Friday,Easy,20s jog / 40s walk x5,5 min,5 intervals,3 sets
Saturday,Easy,Low-impact jumping jacks intervals,8 min,30s on/30s off,3 sets
Saturday,Easy,Bike sprints light,5 min,6 intervals,3 sets
Saturday,Easy,Step-up intervals,10 min,45s on/15s off,3 sets
Sunday,Easy,Arm cycling intervals,6 min,30s on/30s off,3 sets
Sunday,Easy,Modified burpees,8 min,20s on/40s off,3 sets
Sunday,Easy,Walking intervals,15 min,2 min fast/1 min slow,5 rounds
