Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,Pigeon pose with forward fold,8 min,3x1 min each side,3 sets
Monday,Intermediate,Lizard stretch,6 min,3x45 sec each side,3 sets
Monday,Intermediate,Bridge with chest opener,5 min,3x30 sec,3 sets
Tuesday,Intermediate,Deep hip flexor stretch,7 min,3x1 min each leg,3 sets
Tuesday,Intermediate,Thoracic spine mobility,8 min,3x45 sec,3 sets
Tuesday,Intermediate,Hamstring PNF stretching,10 min,3x30 sec each leg,3 sets
Wednesday,Intermediate,Shoulder and chest opening,6 min,3x45 sec,3 sets
Wednesday,Intermediate,Pigeon pose with forward fold,8 min,3x1 min each side,3 sets
Wednesday,Intermediate,Lizard stretch,6 min,3x45 sec each side,3 sets
Thursday,Intermediate,Bridge with chest opener,5 min,3x30 sec,3 sets
Thursday,Intermediate,Deep hip flexor stretch,7 min,3x1 min each leg,3 sets
Thursday,Intermediate,Thoracic spine mobility,8 min,3x45 sec,3 sets
Friday,Intermediate,Hamstring PNF stretching,10 min,3x30 sec each leg,3 sets
Friday,Intermediate,Shoulder and chest opening,6 min,3x45 sec,3 sets
Friday,Intermediate,Pigeon pose with forward fold,8 min,3x1 min each side,3 sets
Saturday,Intermediate,Lizard stretch,6 min,3x45 sec each side,3 sets
Saturday,Intermediate,Bridge with chest opener,5 min,3x30 sec,3 sets
Saturday,Intermediate,Deep hip flexor stretch,7 min,3x1 min each leg,3 sets
Sunday,Intermediate,Thoracic spine mobility,8 min,3x45 sec,3 sets
Sunday,Intermediate,Hamstring PNF stretching,10 min,3x30 sec each leg,3 sets
Sunday,Intermediate,Shoulder and chest opening,6 min,3x45 sec,3 sets
