Day,Level,Exercise,Duration,Reps,Sets
Monday,Intermediate,40s sprint / 20s rest x12,12 min,12 intervals,3 sets
Monday,Intermediate,HIIT burpee + squat jump circuit,15 min,4 rounds,3 sets
Monday,Intermediate,Row sprints 250m x8,20 min,8 intervals,3 sets
Tuesday,Intermediate,Cycling power intervals,25 min,3 min on/1 min off,6 rounds
Tuesday,Intermediate,Jump rope HIIT,10 min,1 min on/30s off,10 rounds
Tuesday,Intermediate,Bodyweight HIIT circuit,18 min,45s on/15s off,18 rounds
Wednesday,Intermediate,Swimming sprints,30 min,50m x 12,3 sets
Wednesday,Intermediate,40s sprint / 20s rest x12,12 min,12 intervals,3 sets
Wednesday,Intermediate,HIIT burpee + squat jump circuit,15 min,4 rounds,3 sets
Thursday,Intermediate,Row sprints 250m x8,20 min,8 intervals,3 sets
Thursday,Intermediate,Cycling power intervals,25 min,3 min on/1 min off,6 rounds
Thursday,Intermediate,Jump rope HIIT,10 min,1 min on/30s off,10 rounds
Friday,Intermediate,Bodyweight HIIT circuit,18 min,45s on/15s off,18 rounds
Friday,Intermediate,Swimming sprints,30 min,50m x 12,3 sets
Friday,Intermediate,40s sprint / 20s rest x12,12 min,12 intervals,3 sets
Saturday,Intermediate,HIIT burpee + squat jump circuit,15 min,4 rounds,3 sets
Saturday,Intermediate,Row sprints 250m x8,20 min,8 intervals,3 sets
Saturday,Intermediate,Cycling power intervals,25 min,3 min on/1 min off,6 rounds
Sunday,Intermediate,Jump rope HIIT,10 min,1 min on/30s off,10 rounds
Sunday,Intermediate,Bodyweight HIIT circuit,18 min,45s on/15s off,18 rounds
Sunday,Intermediate,Swimming sprints,30 min,50m x 12,3 sets
